DATE,XTEXVA01IDM664S_NBD19900101
1990-01-01,100.00000
1991-01-01,120.40732
1992-01-01,145.69782
1993-01-01,162.83676
1994-01-01,183.17008
1995-01-01,216.36225
1996-01-01,246.89667
1997-01-01,329.78977
1998-01-01,1047.66752
1999-01-01,803.19346
2000-01-01,1111.08672
2001-01-01,1225.81781
2002-01-01,1122.91221
2003-01-01,1110.35682
2004-01-01,1355.02681
2005-01-01,1761.39542
2006-01-01,1955.00527
2007-01-01,2206.95559
2008-01-01,2793.71711
2009-01-01,2525.86954
2010-01-01,3030.02999
2011-01-01,3776.94115
2012-01-01,3782.40441
2013-01-01,4048.31478
2014-01-01,4433.43575
2015-01-01,4264.57234
2016-01-01,4072.09194
2017-01-01,4785.58584
2018-01-01,5426.80081
2019-01-01,5021.94075
2020-01-01,5029.24974
2021-01-01,6997.89986
2022-01-01,9178.36990
2023-01-01,8363.89478
2024-01-01,.
