DATE,NYGDPPCAPKDIDN
1960-01-01,597.147402839524
1961-01-01,614.504129006212
1962-01-01,608.870804059456
1963-01-01,579.01684143256
1964-01-01,582.975650853198
1965-01-01,574.817808122217
1966-01-01,577.151412180385
1967-01-01,570.252999069009
1968-01-01,615.818264716785
1969-01-01,640.172468675715
1970-01-01,670.136033662239
1971-01-01,698.306200382129
1972-01-01,728.029691019026
1973-01-01,766.803085644054
1974-01-01,801.477546929414
1975-01-01,825.339125064684
1976-01-01,862.038711369312
1977-01-01,910.667288104047
1978-01-01,949.878771205832
1979-01-01,993.516406478547
1980-01-01,1067.17202382196
1981-01-01,1124.61819327682
1982-01-01,1123.64998833364
1983-01-01,1146.72781710502
1984-01-01,1198.46006400231
1985-01-01,1202.35339069173
1986-01-01,1246.57972377239
1987-01-01,1283.96269158561
1988-01-01,1330.95344009355
1989-01-01,1408.50248296509
1990-01-01,1483.63803203131
1991-01-01,1556.80666351962
1992-01-01,1629.84797824665
1993-01-01,1706.95236458804
1994-01-01,1805.60388533425
1995-01-01,1922.35211804745
1996-01-01,2039.36298877492
1997-01-01,2101.25414945916
1998-01-01,1797.08392181585
1999-01-01,1784.333594699
2000-01-01,1845.22780072703
2001-01-01,1885.67975137695
2002-01-01,1943.64492790634
2003-01-01,2009.48978395399
2004-01-01,2083.8825089787
2005-01-01,2174.91522148966
2006-01-01,2264.93573330974
2007-01-01,2377.25499297081
2008-01-01,2487.61129660703
2009-01-01,2569.87421261278
2010-01-01,2695.86817007214
2011-01-01,2826.48044072348
2012-01-01,2959.5144781668
2013-01-01,3086.32311695224
2014-01-01,3203.48428702077
2015-01-01,3322.58167895444
2016-01-01,3453.04943030511
2017-01-01,3591.78002845926
2018-01-01,3741.30526682049
2019-01-01,3892.42166187369
2020-01-01,3780.12163441585
2021-01-01,3892.95599990599
2022-01-01,4073.55834962073
2023-01-01,4247.85315520073
