DATE,FPCPITOTLZGIDN
1960-01-01,39.5904436860068
1961-01-01,13.6919315403424
1962-01-01,131.397849462365
1963-01-01,145.910780669145
1964-01-01,108.994708994709
1965-01-01,306.763110307415
1966-01-01,1136.2541122077
1967-01-01,106
1968-01-01,128.843042071197
1969-01-01,15.4798702151619
1970-01-01,12.3994646487815
1971-01-01,4.23374894488337
1972-01-01,6.52174921283022
1973-01-01,31.041881271113
1974-01-01,40.4917904384715
1975-01-01,19.1656971335589
1976-01-01,19.8286536956639
1977-01-01,11.0520897946253
1978-01-01,8.11258259525915
1979-01-01,16.2327657550178
1980-01-01,18.0354301616893
1981-01-01,12.2659085141911
1982-01-01,9.44542395353452
1983-01-01,11.7997405215176
1984-01-01,10.45503482319
1985-01-01,4.72453615680211
1986-01-01,5.822666961752
1987-01-01,9.27865613161588
1988-01-01,8.04536715123099
1989-01-01,6.41553963494971
1990-01-01,7.81919144730547
1991-01-01,9.41905827724146
1992-01-01,7.52351717022748
1993-01-01,9.67189338180118
1994-01-01,8.53200525418847
1995-01-01,9.42032321644615
1996-01-01,7.97328085611417
1997-01-01,6.22614163387588
1998-01-01,58.4510444723947
1999-01-01,20.47783111264
2000-01-01,3.68861915958352
2001-01-01,11.5001148791768
2002-01-01,11.9001175663778
2003-01-01,6.75731719362853
2004-01-01,6.06405988526521
2005-01-01,10.4531984193865
2006-01-01,13.1086720985296
2007-01-01,6.40656281325701
2008-01-01,10.2266645473148
2009-01-01,4.38641555014731
2010-01-01,5.13420400767928
2011-01-01,5.3560477898215
2012-01-01,4.27949999641975
2013-01-01,6.41251330156418
2014-01-01,6.39492540819922
2015-01-01,6.36312113115612
2016-01-01,3.5258051568793
2017-01-01,3.80879806953157
2018-01-01,3.1983464156241
2019-01-01,3.03058664969487
2020-01-01,1.9209680056685
2021-01-01,1.56012990525673
2022-01-01,4.20946383402165
2023-01-01,3.67013142377007
