DATE,CCRETT01IDM661N
1990-01-01,123.4614833333333342
1991-01-01,120.9113416666666667
1992-01-01,117.3214833333333333
1993-01-01,121.6612750000000000
1994-01-01,120.9827083333333333
1995-01-01,117.0862250000000000
1996-01-01,125.8277750000000000
1997-01-01,119.3380466666666667
1998-01-01,57.4221483333333332
1999-01-01,84.4043500000000000
2000-01-01,82.1342933333333333
2001-01-01,78.9204441666666683
2002-01-01,95.7957266666666658
2003-01-01,103.1189999999999992
2004-01-01,98.4675083333333308
2005-01-01,96.9845241666666667
2006-01-01,111.8630083333333333
2007-01-01,110.8323333333333342
2008-01-01,105.7118666666666658
2009-01-01,104.8276575000000000
2010-01-01,116.4047250000000000
2011-01-01,115.3949833333333325
2012-01-01,110.3283083333333325
2013-01-01,105.2929508333333325
2014-01-01,98.5413341666666650
2015-01-01,99.9999999999999992
2016-01-01,104.8913666666666658
2017-01-01,106.5292499999999992
2018-01-01,100.0429691666666650
2019-01-01,104.6661083333333333
2020-01-01,102.9186441666666667
2021-01-01,101.0655641666666667
2022-01-01,102.9409916666666667
2023-01-01,103.5953433333333333
