DATE,IRSTCB01IDM156N
1990-01-01,15.9116666666666667
1991-01-01,19.3125000000000000
1992-01-01,15.9875000000000000
1993-01-01,10.6175000000000000
1994-01-01,10.2941666666666667
1995-01-01,14.1116666666666667
1996-01-01,13.8191666666666667
1997-01-01,14.4975000000000000
1998-01-01,49.3241666666666667
1999-01-01,23.1425000000000000
2000-01-01,12.5466666666666667
2001-01-01,16.6158333333333333
2002-01-01,14.9475000000000000
2003-01-01,9.9425000000000000
2004-01-01,7.4450000000000000
2005-01-01,9.1200000000000000
2006-01-01,11.8333333333333333
2007-01-01,8.6041666666666667
2008-01-01,8.6666666666666667
2009-01-01,7.1458333333333333
2010-01-01,6.5000000000000000
2011-01-01,6.5833333333333333
2012-01-01,5.7708333333333333
2013-01-01,6.4791666666666667
2014-01-01,7.5208333333333333
2015-01-01,7.5208333333333333
2016-01-01,6.0000000000000000
2017-01-01,4.5625000000000000
2018-01-01,5.1041666666666667
2019-01-01,5.6250000000000000
2020-01-01,4.2500000000000000
2021-01-01,3.5208333333333333
2022-01-01,4.0000000000000000
2023-01-01,5.8125000000000000
